IssueID,Title,Body
42947,Nest (SDM) Google Pubsub stops working after 60 mins with Observed non-recoverable stream error 401 Request had invalid authentication credentials,"<!-- READ THIS FIRST:
  - If you need additional help with this template, please refer to https://www.home-assistant.io/help/reporting_issues/
  - Make sure you are running the latest version of Home Assistant before reporting an issue: https://github.com/home-assistant/core/releases
  - Do not report issues for integrations if you are using custom components or integrations.
  - Provide as many details as possible. Paste logs, configuration samples and code into the backticks.
  DO NOT DELETE ANY TEXT from this template! Otherwise, your issue may be closed without comment.
-->
## The problem
<!-- 
  Describe the issue you are experiencing here to communicate to the
  maintainers. Tell us what you were trying to do and what happened.
-->
Nest (SDM) Google Pubsub stops working after 60 mins with Observed non-recoverable stream error 401 Request had invalid authentication credentials. Sensors thermostats etc stop updating. Restarting Home Assistant of reloading the Nest Integration resolves the issue for another 60 minutes.

## Environment
<!--
  Provide details about the versions you are using, which helps us to reproduce
  and find the issue quicker. Version information is found in the
  Home Assistant frontend: Configuration -> Info.
-->

- Home Assistant Core release with the issue: 0.117.5 with PR's
- Last working Home Assistant Core release (if known): N/A
- Operating environment (OS/Container/Supervised/Core): Container
- Integration causing this issue: Nest
- Link to integration documentation on our website: https://github.com/home-assistant/home-assistant.io/blob/next/source/_integrations/nest.markdown

## Problem-relevant `configuration.yaml`
<!--
  An example configuration that caused the problem for you. Fill this out even
  if it seems unimportant to you. Please be sure to remove personal information
  like passwords, private URLs and other credentials.
-->

```yaml
nest:
  project_id: ****
  subscriber_id: projects/****/subscriptions/****
  client_id: ****.apps.googleusercontent.com
  client_secret: ****

logger:
  default: warning
  logs:
    homeassistant.components.nest: debug
    google.cloud.pubsub_v1: debug
    google.cloud.pubsub_v1.subscriber._protocol.leaser: debug
    google.cloud.pubsub_v1.subscriber._protocol.streaming_pull_manager: debug
```

## Traceback/Error logs
<!--
  If you come across any trace or error logs, please provide them.
-->

```txt
2020-11-07 23:12:48 INFO (Thread-6) [google.cloud.pubsub_v1.subscriber._protocol.streaming_pull_manager] Observed non-terminating stream error 500 Received RST_STREAM with error code 2
2020-11-07 23:12:48 INFO (Thread-6) [google.cloud.pubsub_v1.subscriber._protocol.streaming_pull_manager] Observed recoverable stream error 500 Received RST_STREAM with error code 2
2020-11-07 23:12:48 INFO (Thread-ConsumeBidirectionalStream) [google.cloud.pubsub_v1.subscriber._protocol.streaming_pull_manager] Observed non-terminating stream error 500 Received RST_STREAM with error code 2
2020-11-07 23:12:48 INFO (Thread-ConsumeBidirectionalStream) [google.cloud.pubsub_v1.subscriber._protocol.streaming_pull_manager] Observed recoverable stream error 500 Received RST_STREAM with error code 2
2020-11-07 23:12:48 INFO (Thread-6) [google.cloud.pubsub_v1.subscriber._protocol.streaming_pull_manager] Observed non-terminating stream error 401 Request had invalid authentication credentials. Expected OAuth 2 access token, login cookie or other valid authentication credential. See https://developers.google.com/identity/sign-in/web/devconsole-project.
2020-11-07 23:12:48 INFO (Thread-6) [google.cloud.pubsub_v1.subscriber._protocol.streaming_pull_manager] Observed non-recoverable stream error 401 Request had invalid authentication credentials. Expected OAuth 2 access token, login cookie or other valid authentication credential. See https://developers.google.com/identity/sign-in/web/devconsole-project.
2020-11-07 23:12:48 INFO (Thread-6) [google.cloud.pubsub_v1.subscriber._protocol.streaming_pull_manager] RPC termination has signaled streaming pull manager shutdown.
2020-11-07 23:12:48 DEBUG (Thread-OnRpcTerminated) [google.cloud.pubsub_v1.subscriber._protocol.streaming_pull_manager] Stopping consumer.
2020-11-07 23:12:48 INFO (Thread-ConsumeBidirectionalStream) [google.cloud.pubsub_v1.subscriber._protocol.streaming_pull_manager] Observed non-terminating stream error 401 Request had invalid authentication credentials. Expected OAuth 2 access token, login cookie or other valid authentication credential. See https://developers.google.com/identity/sign-in/web/devconsole-project.
2020-11-07 23:12:48 INFO (Thread-ConsumeBidirectionalStream) [google.cloud.pubsub_v1.subscriber._protocol.streaming_pull_manager] Observed non-recoverable stream error 401 Request had invalid authentication credentials. Expected OAuth 2 access token, login cookie or other valid authentication credential. See https://developers.google.com/identity/sign-in/web/devconsole-project.
2020-11-07 23:12:48 DEBUG (Thread-OnRpcTerminated) [google.cloud.pubsub_v1.subscriber._protocol.streaming_pull_manager] Stopping scheduler.
2020-11-07 23:12:48 DEBUG (Thread-OnRpcTerminated) [google.cloud.pubsub_v1.subscriber._protocol.streaming_pull_manager] Stopping leaser.
2020-11-07 23:12:48 INFO (Thread-LeaseMaintainer) [google.cloud.pubsub_v1.subscriber._protocol.leaser] Thread-LeaseMaintainer exiting.
2020-11-07 23:12:48 DEBUG (Thread-OnRpcTerminated) [google.cloud.pubsub_v1.subscriber._protocol.streaming_pull_manager] Stopping dispatcher.
2020-11-07 23:12:48 DEBUG (Thread-CallbackRequestDispatcher) [google.cloud.pubsub_v1.subscriber._protocol.helper_threads] Exiting the QueueCallbackWorker.
2020-11-07 23:12:48 DEBUG (Thread-OnRpcTerminated) [google.cloud.pubsub_v1.subscriber._protocol.streaming_pull_manager] Stopping heartbeater.
2020-11-07 23:12:48 INFO (Thread-Heartbeater) [google.cloud.pubsub_v1.subscriber._protocol.heartbeater] Thread-Heartbeater exiting.
2020-11-07 23:12:48 DEBUG (Thread-OnRpcTerminated) [google.cloud.pubsub_v1.subscriber._protocol.streaming_pull_manager] Finished stopping manager.
```

## Additional information
Here are the packages I updated from the standard 0.117.5 install from requirements_all.txt

```txt
Installing collected packages: mypy-extensions, typing-inspect, libcst, proto-plus, grpc-google-iam-v1, google-cloud-pubsub, google-nest-sdm
  Attempting uninstall: grpc-google-iam-v1
    Found existing installation: grpc-google-iam-v1 0.11.4
    Uninstalling grpc-google-iam-v1-0.11.4:
      Successfully uninstalled grpc-google-iam-v1-0.11.4
  Attempting uninstall: google-cloud-pubsub
    Found existing installation: google-cloud-pubsub 0.39.1
    Uninstalling google-cloud-pubsub-0.39.1:
      Successfully uninstalled google-cloud-pubsub-0.39.1
  Attempting uninstall: google-nest-sdm
    Found existing installation: google-nest-sdm 0.1.6
    Uninstalling google-nest-sdm-0.1.6:
      Successfully uninstalled google-nest-sdm-0.1.6
Successfully installed google-cloud-pubsub-2.1.0 google-nest-sdm-0.1.13 grpc-google-iam-v1-0.12.3 libcst-0.3.13 mypy-extensions-0.4.3 proto-plus-1.11.0 typing-inspect-0.6.0
```"
42927,MQTT: client_id is empty; breaks ejabberd mqtt broker connections,"## The problem
<!-- 
  Describe the issue you are experiencing here to communicate to the
  maintainers. Tell us what you were trying to do and what happened.
-->

By default the mqtt component sends an empty client ID also the official documentation says a random client id would be used:
 
```
Frame 118: 185 bytes on wire (1480 bits), 185 bytes captured (1480 bits) on interface -, id 0
Linux cooked capture
Internet Protocol Version 6, Src: ::1, Dst: ::1
Transmission Control Protocol, Src Port: 43396, Dst Port: 1883, Seq: 1, Ack: 1, Len: 97
MQ Telemetry Transport Protocol, Connect Command
    Header Flags: 0x10, Message Type: Connect Command
    Msg Len: 95
    Protocol Name Length: 4
    Protocol Name: MQTT
    Version: MQTT v3.1.1 (4)
    Connect Flags: 0xc6, User Name Flag, Password Flag, QoS Level: At most once delivery (Fire and Forget), Will Flag, Clean Session Flag
        1... .... = User Name Flag: Set
        .1.. .... = Password Flag: Set
        ..0. .... = Will Retain: Not set
        ...0 0... = QoS Level: At most once delivery (Fire and Forget) (0)
        .... .1.. = Will Flag: Set
        .... ..1. = Clean Session Flag: Set
        .... ...0 = (Reserved): Not set
    Keep Alive: 60
    Client ID Length: 0
    Client ID: 
    Will Topic Length: 20
    Will Topic: homeassistant/status
    Will Message Length: 7
    Will Message: 6f66666c696e65
    User Name Length: 16
    User Name: hass@thalheim.io
    Password Length: 32
    Password: <REDACTED>
```

Even though the password is correct ejabberd refuses the connection:

```
Frame 120: 92 bytes on wire (736 bits), 92 bytes captured (736 bits) on interface -, id 0
Linux cooked capture
Internet Protocol Version 6, Src: ::1, Dst: ::1
Transmission Control Protocol, Src Port: 1883, Dst Port: 43396, Seq: 1, Ack: 98, Len: 4
MQ Telemetry Transport Protocol, Connect Ack
    Header Flags: 0x20, Message Type: Connect Ack
    Msg Len: 2
    Acknowledge Flags: 0x00
    Return Code: Connection Refused: not authorized (5)
```

After setting client_id to connections works as expected.

## Environment
<!--
  Provide details about the versions you are using, which helps us to reproduce
  and find the issue quicker. Version information is found in the
  Home Assistant frontend: Configuration -> Info.
-->

- Home Assistant Core release with the issue: -
- Last working Home Assistant Core release (if known): -
- Operating environment (OS/Container/Supervised/Core): NixOS
- Integration causing this issue: mqtt
- Link to integration documentation on our website: https://www.home-assistant.io/integrations/sensor.mqtt

## Problem-relevant `configuration.yaml`
<!--
  An example configuration that caused the problem for you. Fill this out even
  if it seems unimportant to you. Please be sure to remove personal information
  like passwords, private URLs and other credentials.
-->

```yaml
mqtt:
  broker: mqtt.thalheim.io
  certificate: auto
  # this unbreaks ejabberd
  #client_id: hass
  password: !secret ldap_password
  port: '8883'
  username: hass@thalheim.io
```

## Traceback/Error logs
<!--
  If you come across any trace or error logs, please provide them.
-->

```txt
Nov 07 06:51:58 eve hass[770]: 2020-11-07 06:51:58 ERROR (Thread-5) [homeassistant.components.mqtt] Unable to connect to the MQTT broker: Connection Refused: not authorised.
Nov 07 06:51:58 eve hass[770]: 2020-11-07 06:51:58 WARNING (Thread-5) [homeassistant.components.mqtt] Disconnected from MQTT server mqtt.thalheim.io:8883 (5)
Nov 07 06:53:58 eve hass[770]: 2020-11-07 06:53:58 ERROR (Thread-5) [homeassistant.components.mqtt] Unable to connect to the MQTT broker: Connection Refused: not authorised.
Nov 07 06:53:58 eve hass[770]: 2020-11-07 06:53:58 WARNING (Thread-5) [homeassistant.components.mqtt] Disconnected from MQTT server mqtt.thalheim.io:8883 (5)
Nov 07 06:55:58 eve hass[770]: 2020-11-07 06:55:58 ERROR (Thread-5) [homeassistant.components.mqtt] Unable to connect to the MQTT broker: Connection Refused: not authorised.
Nov 07 06:55:58 eve hass[770]: 2020-11-07 06:55:58 WARNING (Thread-5) [homeassistant.components.mqtt] Disconnected from MQTT server mqtt.thalheim.io:8883 (5)
```

## Additional information

Proposed fix. Actually generate a random client id.
"
42921,Nest (SDM) ECO Mode adds temperature range to Climate which is not supported by Thermostat,"<!-- READ THIS FIRST:
  - If you need additional help with this template, please refer to https://www.home-assistant.io/help/reporting_issues/
  - Make sure you are running the latest version of Home Assistant before reporting an issue: https://github.com/home-assistant/core/releases
  - Do not report issues for integrations if you are using custom components or integrations.
  - Provide as many details as possible. Paste logs, configuration samples and code into the backticks.
  DO NOT DELETE ANY TEXT from this template! Otherwise, your issue may be closed without comment.
-->
## The problem
<!-- 
  Describe the issue you are experiencing here to communicate to the
  maintainers. Tell us what you were trying to do and what happened.
-->
I using the latest dev version of Nest (SDM) for Climate and it adds an extra mode ""auto"", when my thermostat only supports ""heat"" and ""off"". THERMOSTAT_ECO_MODE mode adds it because it assumes SUPPORT_TARGET_TEMPERATURE_RANGE, and the trait returns both heatCelsius and coolCelsius even thought only heatCelsius is configurable for my thermostat.

Would it make more sense for THERMOSTAT_ECO_MODE mode to map temperatures based on supported modes? If it didn't support HVAC_MODE_HEAT_COOL or HVAC_MODE_HEAT and HVAC_MODE_COOL it would just use a temperature set point instead of a temperature range.

## Environment
<!--
  Provide details about the versions you are using, which helps us to reproduce
  and find the issue quicker. Version information is found in the
  Home Assistant frontend: Configuration -> Info.
-->

- Home Assistant Core release with the issue: 0.117.4 with Nest PR's
- Last working Home Assistant Core release (if known): NA
- Operating environment (OS/Container/Supervised/Core): Container
- Integration causing this issue: Nest
- Link to integration documentation on our website: https://github.com/home-assistant/home-assistant.io/blob/next/source/_integrations/nest.markdown

## Problem-relevant `configuration.yaml`
<!--
  An example configuration that caused the problem for you. Fill this out even
  if it seems unimportant to you. Please be sure to remove personal information
  like passwords, private URLs and other credentials.
-->

```yaml
nest:
  project_id: ****
  subscriber_id: projects/****/subscriptions/****
  client_id: ****.apps.googleusercontent.com
  client_secret: ****
```

## Traceback/Error logs
<!--
  If you come across any trace or error logs, please provide them.
-->

```txt
No errors of log messages
```

## Additional information

"
42912,Plex integration failure using Obtain a new token from plex.tv method,"<!-- READ THIS FIRST:
  - If you need additional help with this template, please refer to https://www.home-assistant.io/help/reporting_issues/
  - Make sure you are running the latest version of Home Assistant before reporting an issue: https://github.com/home-assistant/core/releases
  - Do not report issues for integrations if you are using custom components or integrations.
  - Provide as many details as possible. Paste logs, configuration samples and code into the backticks.
  DO NOT DELETE ANY TEXT from this template! Otherwise, your issue may be closed without comment.
-->
## The problem
I try to add plex media server integration from UI integration. When choosing _Obtain a new token from plex.tv_ method, I'm redirected to plex.tv and get this screen message: 

<img width=""719"" alt=""Screenshot 2020-11-06 at 16 49 09"" src=""https://user-images.githubusercontent.com/7801817/98386293-490d1a00-2050-11eb-8aae-3fc892e827f3.png"">

EN translate: Unable to meet demand. You will be redirected automatically.

Other users are facing this [issue](https://community.home-assistant.io/t/is-plex-integration-broken/242323/11)

## Environment
arch | aarch64
-- | --
chassis | embedded
dev | false
docker | true
docker_version | 19.03.11
hassio | true
host_os | HassOS 4.15
installation_type | Home Assistant OS
os_name | Linux
os_version | 4.19.127-v8
python_version | 3.8.6
supervisor | 2020.11.0
timezone | Europe/Paris
version | 0.117.4
virtualenv | false

- Home Assistant Core release with the issue: 0.117.4
- Last working Home Assistant Core release (if known): Never tried before
- Operating environment (OS/Container/Supervised/Core): HassOS 4.15
- Integration causing this issue: plex
- Link to integration documentation on our website: https://www.home-assistant.io/integrations/plex/

## Problem-relevant `configuration.yaml`
N/A as integration is done through UI

## Traceback/Error logs
No issue in logs

## Additional information
Tried to remove connected device from plex and restart server
Tried to restart HA

First time I report issue. Do not hesitate if you need additional information
"
42911,Unable to find token seed! Did https://translate.google.com change?,"<!-- READ THIS FIRST:
  - If you need additional help with this template, please refer to https://www.home-assistant.io/help/reporting_issues/
  - Make sure you are running the latest version of Home Assistant before reporting an issue: https://github.com/home-assistant/core/releases
  - Do not report issues for integrations if you are using custom components or integrations.
  - Provide as many details as possible. Paste logs, configuration samples and code into the backticks.
  DO NOT DELETE ANY TEXT from this template! Otherwise, your issue may be closed without comment.
-->
## The problem
PR #42405 should have fixed issue #42255, but problem still occurs (sporadically?)

Many users seems to have the same issue: https://community.home-assistant.io/t/ha-117-unable-to-find-token-seed-did-https-translate-google-com-change/238237


## Environment
<!--
  Provide details about the versions you are using, which helps us to reproduce
  and find the issue quicker. Version information is found in the
  Home Assistant frontend: Configuration -> Info.
-->

- Home Assistant Core release with the issue: 117.4
- Last working Home Assistant Core release (if known): 
- Operating environment (OS/Container/Supervised/Core): HassOS 5.4
- Integration causing this issue: Google TTS
- Link to integration documentation on our website: https://rc.home-assistant.io/integrations/google_translate/

## Problem-relevant `configuration.yaml`
<!--
  An example configuration that caused the problem for you. Fill this out even
  if it seems unimportant to you. Please be sure to remove personal information
  like passwords, private URLs and other credentials.
-->

```yaml
tts:
  - platform: google_translate
    service_name: google_say
    cache: false
```

## Traceback/Error logs
```txt
2020-11-06 12:18:55 WARNING (MainThread) [homeassistant.components.google_translate.tts] Unable to find token seed! Did https://translate.google.com change?
2020-11-06 12:18:55 ERROR (MainThread) [homeassistant.components.tts] Error on init TTS: No TTS from google_translate for ‘this is the second try’
2020-11-06 12:19:19 WARNING (MainThread) [homeassistant.components.google_translate.tts] Unable to find token seed! Did https://translate.google.com change?
2020-11-06 12:19:19 ERROR (MainThread) [homeassistant.components.tts] Error on init TTS: No TTS from google_translate for ‘this is the fifth try’
2020-11-06 12:19:41 WARNING (MainThread) [homeassistant.components.google_translate.tts] Unable to find token seed! Did https://translate.google.com change?
2020-11-06 12:19:41 ERROR (MainThread) [homeassistant.components.tts] Error on init TTS: No TTS from google_translate for ‘this is the seventh try’
```

So, the first, third, fourth and sixth message made it through and I was able to hear them, but not the ones mentioned in the log.

## Additional information

"
42873,rpi_gpio_pwm error after upgrade to 0.117.* ('NoneType' object has no attribute 'send'),"<!-- READ THIS FIRST:
  - If you need additional help with this template, please refer to https://www.home-assistant.io/help/reporting_issues/
  - Make sure you are running the latest version of Home Assistant before reporting an issue: https://github.com/home-assistant/core/releases
  - Do not report issues for integrations if you are using custom components or integrations.
  - Provide as many details as possible. Paste logs, configuration samples and code into the backticks.
  DO NOT DELETE ANY TEXT from this template! Otherwise, your issue may be closed without comment.
-->
## The problem
Error on rpi_gpio_pwm integration after upgrade to 0.117.*
AttributeError: 'NoneType' object has no attribute 'send'

## Environment
<!--
  Provide details about the versions you are using, which helps us to reproduce
  and find the issue quicker. Version information is found in the
  Home Assistant frontend: Configuration -> Info.
-->

- Home Assistant Core release with the issue: Home Assistant 0.117.4
- Last working Home Assistant Core release (if known): 0.116.*
- Operating environment (OS/Container/Supervised/Core): OS
- Integration causing this issue: Upgrade
- Link to integration documentation on our website: https://www.home-assistant.io/integrations/rpi_gpio_pwm/

## Problem-relevant `configuration.yaml`
<!--
  An example configuration that caused the problem for you. Fill this out even
  if it seems unimportant to you. Please be sure to remove personal information
  like passwords, private URLs and other credentials.
-->

```yaml
light:
  - platform: rpi_gpio_pwm
    leds:
      - name: Cpu Fan
        driver: gpio
        pins: [14]
        type: simple
```

## Traceback/Error logs
<!--
  If you come across any trace or error logs, please provide them.
-->

```txt
Logger: homeassistant.components.light
Source: components/rpi_gpio_pwm/light.py:82
Integration: Освещение (documentation, issues)
First occurred: 14:33:09 (1 occurrences)
Last logged: 14:33:09

Error while setting up rpi_gpio_pwm platform for light
Traceback (most recent call last):
  File ""/usr/src/homeassistant/homeassistant/helpers/entity_platform.py"", line 197, in _async_setup_platform
    await asyncio.shield(task)
  File ""/usr/local/lib/python3.8/concurrent/futures/thread.py"", line 57, in run
    result = self.fn(*self.args, **self.kwargs)
  File ""/usr/src/homeassistant/homeassistant/components/rpi_gpio_pwm/light.py"", line 82, in setup_platform
    driver = GpioDriver(pins, **opt_args)
  File ""/usr/local/lib/python3.8/site-packages/pwmled/driver/gpio.py"", line 28, in __init__
    self._pi.set_PWM_frequency(pin, freq)
  File ""/usr/local/lib/python3.8/site-packages/pigpio.py"", line 1537, in set_PWM_frequency
    _pigpio_command(self.sl, _PI_CMD_PFS, user_gpio, frequency))
  File ""/usr/local/lib/python3.8/site-packages/pigpio.py"", line 977, in _pigpio_command
    sl.s.send(struct.pack('IIII', cmd, p1, p2, 0))
AttributeError: 'NoneType' object has no attribute 'send'
```

## Additional information

"
42847,Netatmo partially broken,"<!-- READ THIS FIRST:
  - If you need additional help with this template, please refer to https://www.home-assistant.io/help/reporting_issues/
  - Make sure you are running the latest version of Home Assistant before reporting an issue: https://github.com/home-assistant/core/releases
  - Do not report issues for integrations if you are using custom components or integrations.
  - Provide as many details as possible. Paste logs, configuration samples and code into the backticks.
  DO NOT DELETE ANY TEXT from this template! Otherwise, your issue may be closed without comment.
-->
## Netatmo not working
<!-- 
  Describe the issue you are experiencing here to communicate to the
  maintainers. Tell us what you were trying to do and what happened.
-->
After updating to 117.4 some Netatmo values broken. Netatmo public all values unavalable, from outdoor station some ok some not - for example temp ok, min temp not. Indoor all values fine.




## Environment
<!--
  Provide details about the versions you are using, which helps us to reproduce
  and find the issue quicker. Version information is found in the
  Home Assistant frontend: Configuration -> Info.
-->

- Home Assistant Core release with the issue:  117.4
- Last working Home Assistant Core release (if known): 117.0/117.1
- Operating environment (OS/Container/Supervised/Core):  Hassio
- Integration causing this issue:  Netatmo
- Link to integration documentation on our website: 

## Problem-relevant `configuration.yaml`
<!--
  An example configuration that caused the problem for you. Fill this out even
  if it seems unimportant to you. Please be sure to remove personal information
  like passwords, private URLs and other credentials.
-->

```yaml

```

## Traceback/Error logs
<!--
  If you come across any trace or error logs, please provide them.
-->

```txt
2020-11-04 20:26:06 ERROR (MainThread) [homeassistant.components.sensor] Error while setting up netatmo platform for sensor
Traceback (most recent call last):
  File ""/usr/src/homeassistant/homeassistant/helpers/entity_platform.py"", line 197, in _async_setup_platform
    await asyncio.shield(task)
  File ""/usr/src/homeassistant/homeassistant/components/netatmo/sensor.py"", line 227, in async_setup_entry
    await add_public_entities(False)
  File ""/usr/src/homeassistant/homeassistant/components/netatmo/sensor.py"", line 201, in add_public_entities
    await data_handler.register_data_class(
  File ""/usr/src/homeassistant/homeassistant/components/netatmo/data_handler.py"", line 149, in register_data_class
    await self.async_fetch_data(
  File ""/usr/src/homeassistant/homeassistant/components/netatmo/data_handler.py"", line 117, in async_fetch_data
    self.data[data_class_entry] = await self.hass.async_add_executor_job(
  File ""/usr/local/lib/python3.8/concurrent/futures/thread.py"", line 57, in run
    result = self.fn(*self.args, **self.kwargs)
TypeError: __init__() got an unexpected keyword argument 'LAT_NE'

```

## Additional information

"
42814,SimpliSafe: No Sensor Entities created,"<!-- READ THIS FIRST:
  - If you need additional help with this template, please refer to https://www.home-assistant.io/help/reporting_issues/
  - Make sure you are running the latest version of Home Assistant before reporting an issue: https://github.com/home-assistant/core/releases
  - Do not report issues for integrations if you are using custom components or integrations.
  - Provide as many details as possible. Paste logs, configuration samples and code into the backticks.
  DO NOT DELETE ANY TEXT from this template! Otherwise, your issue may be closed without comment.
-->
## The problem
I have a simplisafe v3 system
Added simplisafe integration and only one entity was created (the Alarm Control Panel).
I do not see any of my entry sensors.


## Environment
<!--
  Provide details about the versions you are using, which helps us to reproduce
  and find the issue quicker. Version information is found in the
  Home Assistant frontend: Configuration -> Info.
-->

- Home Assistant Core release with the issue: Home Assistant 0.116.4
- Last working Home Assistant Core release (if known): 
- Operating environment (OS/Container/Supervised/Core): Docker container
- Integration causing this issue: Simplisafe
- Link to integration documentation on our website: https://www.home-assistant.io/integrations/simplisafe/

## Problem-relevant `configuration.yaml`
N/A
Configured via UI


## Traceback/Error logs
<!--
  If you come across any trace or error logs, please provide them.
-->
no error messages in log

## Additional information

"
42781,RFXtrx integration remains in automatic add state.,"<!-- READ THIS FIRST:
  - If you need additional help with this template, please refer to https://www.home-assistant.io/help/reporting_issues/
  - Make sure you are running the latest version of Home Assistant before reporting an issue: https://github.com/home-assistant/core/releases
  - Do not report issues for integrations if you are using custom components or integrations.
  - Provide as many details as possible. Paste logs, configuration samples and code into the backticks.
  DO NOT DELETE ANY TEXT from this template! Otherwise, your issue may be closed without comment.
-->

RFXtrx integration remains in automatic add state.

Got a device that seems to change what is reporting generating a lot of ""devices"", but as the subject states... The problem is that it gets added when it should not.

I feels like a UI glitch, as in some conditions it goes longer periods of time with it working correctly.

Is there some other place I can look and see if the automatic add state is active or not?

## Environment
<!--
  Provide details about the versions you are using, which helps us to reproduce
  and find the issue quicker. Version information is found in the
  Home Assistant frontend: Configuration -> Info.
-->

- Home Assistant Core release with the issue: Home Assistant 0.117.2
- Last working Home Assistant Core release (if known): Seen this since 0.113 at least
- Operating environment (OS/Container/Supervised/Core): 
- Integration causing this issue: RFXtrx
- Link to integration documentation on our website: https://www.home-assistant.io/integrations/rfxtrx/


## Traceback/Error logs
<!--
  If you come across any trace or error logs, please provide them.
-->

```2020-11-02 11:22:48 INFO (MainThread) [homeassistant.components.rfxtrx.binary_sensor] Added binary sensor (Device ID: ffffff:32 Class: RFXtrxDevice Sub: 10 Event: 08200a00ffffff0649)
2020-11-02 11:22:48 INFO (MainThread) [homeassistant.helpers.entity_registry] Registered new sensor.rfxtrx entity: sensor.rm174rf_smoke_detector_ffffff_32_rssi_numeric
2020-11-02 11:22:48 INFO (MainThread) [homeassistant.components.sensor] Not adding entity RM174RF Smoke Detector ffffff:32 Rssi numeric because it's disabled
2020-11-02 11:22:48 INFO (MainThread) [homeassistant.helpers.entity_registry] Registered new sensor.rfxtrx entity: sensor.rm174rf_smoke_detector_ffffff_32_sensor_status
2020-11-02 11:22:48 INFO (MainThread) [homeassistant.components.sensor] Not adding entity RM174RF Smoke Detector ffffff:32 Sensor Status because it's disabled
2020-11-02 11:22:48 INFO (MainThread) [homeassistant.helpers.entity_registry] Registered new sensor.rfxtrx entity: sensor.rm174rf_smoke_detector_ffffff_32_battery_numeric
2020-11-02 11:22:48 INFO (MainThread) [homeassistant.components.sensor] Not adding entity RM174RF Smoke Detector ffffff:32 Battery numeric because it's disabled
2020-11-02 11:22:48 INFO (MainThread) [homeassistant.helpers.entity_registry] Registered new binary_sensor.rfxtrx entity: binary_sensor.rm174rf_smoke_detector_ffffff_32
2020-11-02 11:22:48 INFO (MainThread) [homeassistant.components.binary_sensor] Not adding entity RM174RF Smoke Detector ffffff:32 because it's disabled
```

## Additional information

![image](https://user-images.githubusercontent.com/46381052/97959722-3eccf080-1db0-11eb-8d49-ced2f25b644e.png)


![image](https://user-images.githubusercontent.com/46381052/97959491-c23a1200-1daf-11eb-9fb3-1c6f4f1cad44.png)


"
42764,Existing synology_dsm config entries cannot be setup.,"<!-- READ THIS FIRST:
  - If you need additional help with this template, please refer to https://www.home-assistant.io/help/reporting_issues/
  - Make sure you are running the latest version of Home Assistant before reporting an issue: https://github.com/home-assistant/core/releases
  - Do not report issues for integrations if you are using custom components or integrations.
  - Provide as many details as possible. Paste logs, configuration samples and code into the backticks.
  DO NOT DELETE ANY TEXT from this template! Otherwise, your issue may be closed without comment.
-->
## The problem
<!-- 
  Describe the issue you are experiencing here to communicate to the
  maintainers. Tell us what you were trying to do and what happened.
-->

This was regressed in https://github.com/home-assistant/core/pull/42539

## Environment
<!--
  Provide details about the versions you are using, which helps us to reproduce
  and find the issue quicker. Version information is found in the
  Home Assistant frontend: Configuration -> Info.
-->

- Home Assistant Core release with the issue: 0.118dev
- Last working Home Assistant Core release (if known): 
- Operating environment (OS/Container/Supervised/Core): 
- Integration causing this issue: 
- Link to integration documentation on our website: 


## Traceback/Error logs
<!--
  If you come across any trace or error logs, please provide them.
-->

```txt
2020-11-02 19:28:57 ERROR (MainThread) [homeassistant.config_entries] Error setting up entry 192.168.107.5 for synology_dsm
Traceback (most recent call last):
  File ""/usr/src/homeassistant/homeassistant/config_entries.py"", line 234, in async_setup
    result = await component.async_setup_entry(hass, self)  # type: ignore
  File ""/usr/src/homeassistant/homeassistant/components/synology_dsm/__init__.py"", line 172, in async_setup_entry
    await api.async_setup()
  File ""/usr/src/homeassistant/homeassistant/components/synology_dsm/__init__.py"", line 266, in async_setup
    self._entry.data[CONF_VERIFY_SSL],
KeyError: 'verify_ssl'
```

## Additional information

"
42754,Rocket launch_library requires update to new api,"<!-- READ THIS FIRST:
  - If you need additional help with this template, please refer to https://www.home-assistant.io/help/reporting_issues/
  - Make sure you are running the latest version of Home Assistant before reporting an issue: https://github.com/home-assistant/core/releases
  - Do not report issues for integrations if you are using custom components or integrations.
  - Provide as many details as possible. Paste logs, configuration samples and code into the backticks.
  DO NOT DELETE ANY TEXT from this template! Otherwise, your issue may be closed without comment.
-->
## The problem
<!-- 
when launch_library is used, it returns ""update to the new API""
-->


## Environment
<!--
pi 3
Hass 0.117.1
SuperVisor 2020.10.0
-->

- Home Assistant Core release with the issue: 
- Last working Home Assistant Core release (if known): 
- Operating environment (OS/Container/Supervised/Core): 
- Integration causing this issue: 
- Link to integration documentation on our website: 

## Problem-relevant `configuration.yaml`
<!--
  add launch_library sensor, view the sensor detail
-->

```yaml

```

## Traceback/Error logs
<!--
  If you come across any trace or error logs, please provide them.
-->

```txt

```

## Additional information

"
